card.Abomination.affix	Cards	Power	
card.Alien Big Blink.affix	Cards	Cosmic	
card.Alien Biteroot.affix	Cards	Resistance	
card.Alien Cyclops.affix	Cards	Gaze	
card.Alien One Eye.affix	Cards	Energy	
card.Alien Plant.affix	Cards	Resistance	
card.Alien Spike.affix	Cards	Spiked	
card.Alien Star.affix	Cards	Sanctified	
card.Alien Twinkle.affix	Cards	Blessed	
card.Alien Wheel.affix	Cards	Steadfast	
card.Alien Wreck.affix	Cards	Titan	
card.Angel Mage.affix	Cards	Pure	
card.Angel.affix	Cards	Unholy	
card.Archangel.affix	Cards	Lightproof	
card.Bat Lord.affix	Cards	Siphoning	
card.Bat.affix	Cards	Leeching	
card.Bee.affix	Cards	Energy	
card.Bird.affix	Cards	Sniper	
card.Bloom.affix	Cards	Status	
card.Blossom.affix	Cards	Status	
card.Bomb.affix	Cards	Volatile	
card.Boxy Robot.affix	Cards	Carrier	
card.Bud.affix	Cards	Fleet	
card.Bumble.affix	Cards	Energy	
card.Bunny.affix	Cards	Rapid	
card.Burrow.affix	Cards	Stomping	
card.Butterfly Fairy.affix	Cards	Sanctified	
card.Butterfly Hue.affix	Cards	Blessed	
card.Butterfly Pixie.affix	Cards	Lightproof	
card.Cacti.affix	Cards	Spiked	
card.Cactus Boss.affix	Cards	Enduring	
card.Cactus.affix	Cards	Spiked	
card.Cat Bolt.affix	Cards	Gale	
card.Cat Lightning.affix	Cards	Windproof	
card.Cat Meow.affix	Cards	Shocking	
card.Chick.affix	Cards	Sharp	
card.Creeper.affix	Cards	Savage	
card.Cyclops Bat Mage.affix	Cards	Magic	
card.Cyclops Bat Wizard.affix	Cards	Mind	
card.Cyclops Bat.affix	Cards	Grave	
card.Cyclops Giant.affix	Cards	Warding	
card.Cyclops Minion.affix	Cards	Warding	
card.Cyclops.affix	Cards	Warding	
card.Death Mage.affix	Cards	Cloaking	
card.Death.affix	Cards	Ethereal	
card.Delivery Robot.affix	Cards	Carrier	
card.Direwolf.affix	Cards	Melee	
card.Dog Bark.affix	Cards	Flaming	
card.Dog Bowwow.affix	Cards	Flaming	
card.Dog Pup.affix	Cards	Flaming	
card.Dragon Blizzard.affix	Cards	Diamond	
card.Dragon Darkness.affix	Cards	Violent	
card.Dragon Dusk.affix	Cards	Exorcist's	
card.Dragon Fire.affix	Cards	Fireproof	
card.Dragon Ice.affix	Cards	Freezing	
card.Dragon Inferno.affix	Cards	Power	
card.Dragon Nightfall.affix	Cards	Purifying	
card.Dragon Spark.affix	Cards	Power	
card.Dragon Water.affix	Cards	Waterproof	
card.Dragonfly Arrow.affix	Cards	Elusive	
card.Dragonfly Darner.affix	Cards	Elusive	
card.Dragonfly Swift.affix	Cards	Elusive	
card.Egg.affix	Cards	Vital	
card.Egglet.affix	Cards	Rapid	
card.Elder Wisp Blue.affix	Cards	Glacial	
card.Elder Wisp Purple.affix	Cards	Spark	
card.Elder Wisp Yellow.affix	Cards	Pyre	
card.Eyeball Bat Blue.affix	Cards	Radiant	
card.Eyeball Bat Green.affix	Cards	Purity	
card.Eyeball Bat Red.affix	Cards	Vampiric	
card.Eyeball Creep Blue.affix	Cards	Focus	
card.Eyeball Creep Green.affix	Cards	Focus	
card.Eyeball Creep Red.affix	Cards	Focus	
card.Eyeball Mage Blue.affix	Cards	Mind	
card.Eyeball Mage Green.affix	Cards	Exorcist	
card.Eyeball Mage Red.affix	Cards	Vampiric	
card.Eyeball Monster.affix	Cards	Abyss	
card.Fire Mage.affix	Cards	Mind	
card.Fire.affix	Cards	Unbreaking	
card.FIsh Blue.affix	Cards	Fading	
card.Fish Man Blue.affix	Cards	Mind	
